Naslov,Mesto,Doplacilo,Posta,Cena,Ime_lokala
Zagrebška cesta 92,MARIBOR,"2,14",1188,"4,83",GURMANSKI HRAM
Zagrebška cesta 92,MARIBOR,"2,14",1189,"4,83",GURMANSKI HRAM - DOSTAVA
Njegoševa 6K,LJUBLJANA,"4,31",2525,"7,00",HALO KATRA
Pod ježami 14,LJUBLJANA,"3,24",2778,"5,93",HALO PINKI
Tržaška 116,LJUBLJANA,"4,24",1804,"6,93",HALO RDEČE JABOLKO - DOSTAVA
Cesta Ljubljanske brigade 33,LJUBLJANA,"2,30",2977,"4,99",HIPERMARKET LJUBLJANA ŠIŠKA
Streliška ulica 10,LJUBLJANA,"4,31",2668,"7,00",HIŠA POD GRADOM
Čopova 4,LJUBLJANA,"2,51",2430,"5,20",HIT WOK
Cesta v mestni log 55,LJUBLJANA,"2,94",2841,"5,63",HONG XIANG 
Cesta v mestni log 55,LJUBLJANA,"3,94",2842,"6,63",HONG XIANG - DOSTAVA
Dilančeva 1,NOVO MESTO,"3,34",1351,"6,03",HOSTEL SITULA
Šmartinska cesta 152,LJUBLJANA,"3,94",2358,"6,63",HOT HORSE - BTC
Celovška cesta 25,LJUBLJANA,"3,94",2359,"6,63",HOT HORSE - TIVOLI
Mariborska cesta 3,CELJE,"3,44",2624,"6,13",HOTEL CELEIA
Goliev trg 13,TREBNJE,"3,44",2487,"6,13",HOTEL OPARA
Rudarska cesta 1,VELENJE,"3,81",1627,"6,50",HOTEL PAKA
Glavni trg 43,SLOVENJ GRADEC,"1,81",1145,"4,50",HOTEL SLOVENJ GRADEC
Kardeljeva ploščad 17,LJUBLJANA,"3,11",2846,"5,80",HOTSPOT BAR&amp;BISTRO
Nazorjeva 6,LJUBLJANA,"3,11",2847,"5,80",HOTSPOT CENTER BAR&amp;BISTRO
Cankarjeva cesta 6,LJUBLJANA,"4,31",1386,"7,00",JOE PENA&#39;S CANTINA Y BAR
Aškrčeva 2,LJUBLJANA,"0,00",2533,"2,69",K16
Pivovarniška ulica 6,LJUBLJANA,"3,44",2711,"6,13",KAMPUS PIZZA
Gosposvetska cesta 15,MARIBOR,"0,44",1639,"3,13",KANAPE
Kardeljeva ploščad ,LJUBLJANA,"2,64",2581,"5,33",KAPITAL
Drulovka 40,KRANJ,"2,34",2638,"5,03",KARANTANIJA
Borštnikov trg 2,LJUBLJANA,"0,00",2832,"2,69",KAVARNA BORŠTNIK
Delpinova 16,NOVA GORICA,"3,81",1999,"6,50",KAVARNA IN RESTAVRACIJA PECIVO
Smetanova ulica 17,MARIBOR,"0,44",2347,"3,13",KAVARNA IN SENDVIČARNA FERI
Gregorčičeva 2,KRANJ,"2,21",2330,"4,90",KAVARNA IN SLAŠČIČARNA CARNIOLA
Oprešnikova 28,KRANJ,"2,21",2329,"4,90",KAVARNA IN SLAŠČIČARNA RENDEZ - VOUS
Turjaška 1,LJUBLJANA,"2,74",2396,"5,43",KAVARNA NUK
Koroška cesta 59,MARIBOR,"1,31",1190,"4,00",KAVARNA STIL BURGER
Zdravstevna  pot 5,LJUBLJANA,"1,84",2839,"4,53",KAVARNA STRIT
Focheva ulica 41,MARIBOR,"3,84",2775,"6,53",KITAJSKA PALAČA - DOSTAVA
Ptujska cesta 131 ,MARIBOR,"3,44",2703,"6,13",KITAJSKA RESTAVRACIJA AZIJA
Gosposvetska ulica 1,KRANJ,"3,14",2644,"5,83",KITAJSKA RESTAVRACIJA AZIJA
Masarykova 17,LJUBLJANA,"3,44",2256,"6,13",KITAJSKA RESTAVRACIJA BELI LABOD
Ankaranska cesta 5B,KOPER/CAPODISTRIA,"3,44",2264,"6,13",KITAJSKA RESTAVRACIJA CESARSKA HIŠA
Kersnikova 31,CELJE,"2,91",2635,"5,60",KITAJSKA RESTAVRACIJA DVA ZMAJA
Šmartinska 152g,LJUBLJANA,"3,61",2950,"6,30",KITAJSKA RESTAVRACIJA HAN
Mačkovec 6,NOVO MESTO,"2,94",1415,"5,63",KITAJSKA RESTAVRACIJA NANKING
Kapitelska 5,LJUBLJANA,"3,24",1346,"5,93",KITAJSKA RESTAVRACIJA NOVI ŠANGHAI
Delavska ulica 11,JESENICE,"3,21",2446,"5,90",KITAJSKA RESTAVRACIJA ŠANG HAI
Ulica Pohorskega bataljona 14,MARIBOR,"2,64",2761,"5,33",KITAJSKA RESTAVRACIJA ZLATA SRNA
Ulica Pohorskega bataljona 14,MARIBOR,"3,44",2762,"6,13",KITAJSKA RESTAVRACIJA ZLATA SRNA - DOSTAVA
Loška ulica 10,MARIBOR,"2,40",1165,"5,09",KITAJSKA RESTAVRACIJA ZVEZDA
Ankaranska cesta 5B,KOPER/CAPODISTRIA,"4,24",2265,"6,93",KITAJSKA RESTAVRACJA CESARSKA HIŠA-DOSTAVA
Dunajska cesta 29,LJUBLJANA,"3,44",1610,"6,13",KITAJSKI DVOR
Teharska cesta 35,CELJE,"3,24",1911,"5,93",KITAJSKI DVOR
Dunajska cesta 29,LJUBLJANA,"3,94",2117,"6,63",KITAJSKI DVOR - DOSTAVA
Teharska cesta 35,CELJE,"3,24",1164,"5,93",KITAJSKI DVOR - DOSTAVA
Slamnikarjeva 1,DOMŽALE,"2,81",1838,"5,50",KITAJSKO MESTO
Slamnikarjeva 1,DOMŽALE,"3,81",2772,"6,50",KITAJSKO MESTO - DOSTAVA
Litostrojska cesta 57,LJUBLJANA,"2,71",1422,"5,40",KLOPČIČ
Litostrojska cesta 55,LJUBLJANA,"2,71",1421,"5,40",KLOPČIČ - DOM LITOSTROJ
Nemčavci 1d,MURSKA SOBOTA,"3,31",1110,"6,00",KRATOCHWILL
Tbilisijska 59,LJUBLJANA,"3,21",1429,"5,90",KURJI TAT
Ulica Staneta Žagarja 2b,RADOVLJICA,"3,31",2601,"6,00",LA CANTINA
Čevljarska 9,KOPER/CAPODISTRIA,"3,04",2203,"5,73",LABIRINT
Kvedrova cesta 5a,LJUBLJANA,"2,94",2844,"5,63",LETEČA ZVEZDA
Borštnikov trg 3a,LJUBLJANA,"0,00",2726,"2,69",LIPCA - INDEKS
Zaloška cesta 42,LJUBLJANA,"2,21",2994,"4,90",LJUDSKA KUHINJA
Stossmayerjeva ulica 26,MARIBOR,"3,34",2640,"6,03",LONDON STREET FOOD
Gosposvetska cesta 43a,MARIBOR,"3,24",2331,"5,93",LOVING HUT 
Trg OF 14,LJUBLJANA,"3,44",2401,"6,13",LOVING HUT LJUBJANA CENTER
Gosposvetska cesta 19,MARIBOR,"0,44",2642,"3,13",LUNCH BOX
Mariborska 100,CELJE,"3,31",1628,"6,00",MAESTRO (CITY CENTER CELJE)
Vodnikova 35,LJUBLJANA,"4,31",2152,"7,00",MAHARAJA INDIJSKA RESTAVRACIJA
Trg republike 1,LJUBLJANA,"2,30",2975,"4,99",MAXI LJUBLJANA
Ulica Vita Kraigherja 5,MARIBOR,"0,44",2875,"3,13",MC PANDA
Žička cesta 4a,SLOVENSKE KONJICE,"0,94",1910,"3,63",MC PATRIOT
Tržaška 6,MARIBOR,"2,01",1182,"4,70",MCDONALD&#180;S RESTAVRACIJA - SWATY
Pobreška 18,MARIBOR,"2,01",1185,"4,70",MCDONALD&#180;S RESTAVRACIJA EUROPARK
Ptujska 106,MARIBOR,"2,01",1184,"4,70",MCDONALD&#180;S RESTAVRACIJA PTUJSKA
Kidričeva 2b,VELENJE,"2,01",1179,"4,70",MCDONALD&#180;S RESTAVRACIJA VELENJE
Breznikova 15,DOMŽALE,"2,01",1342,"4,70",MCDONALD&#39;S MCDRIVE DOMŽALE
Mariborska cesta 164,CELJE,"2,01",2868,"4,70",MCDONALD&#39;S RESTAVRACIJA - CELJE DRIVE
Celovška cesta 170,LJUBLJANA,"2,01",1341,"4,70",MCDONALD&#39;S RESTAVRACIJA - CELOVŠKA
Cesta Boštjana Hladnika 7,KRANJ,"2,01",2866,"4,70",MCDONALD&#39;S RESTAVRACIJA - KRANJ DRIVE
Ankaranska 4,KOPER/CAPODISTRIA,"2,01",2253,"4,70",MCDONALD&#39;S RESTAVRACIJA KOPER
Vojkova cesta 111,NOVA GORICA,"2,01",2815,"4,70",MCDONALD&#39;S RESTAVRACIJA NOVA GORICA
Jezdarska ulica 8b,MARIBOR,"0,44",2648,"3,13",ME GUSTA
